Action,Activity,Objects,Locations,Preference,Explanation,Opposing Concepts,Conditions,Preference Conditional,Explanation Conditional
Mowing the lawn,Outdoor Maintenance,Lawnmower,Backyard,do now,"action, is very tiring; activity, is a mundane chore",,"early in the morning, user is asleep",do later,"action, makes a lot of noise"
Cleaning the driveway with a pressure washer,Outdoor Maintenance,Pressure washer,Driveway,do now,"action, is very tiring; activity, is a mundane chore",,"early in the morning, user is asleep",do later,"action, makes a lot of noise"
Mopping the kitchen and living room floors,Floor Cleaning,"Mop, Wet Pads","Kitchen, Dining Room",do now,"action, is very tiring; activity, is a mundane chore",,,,
Cleaning the floor carpets with a scrub brush,Floor Cleaning,"Scrub Brush, Carpets",Living Room,do now,"action, is very tiring; activity, is a mundane chore",,,,
Wiping down countertop after cooking,Cleaning the Kitchen,"Cleaning Cloth, Kitchen Countertop",Kitchen,do now,"activity, is a mundane chore",,,,
Wiping spilled milk on the kitchen floor,Cleaning a Spill,"Mop, Paper towel",Kitchen,do now,"activity, is a mundane chore",,,,
Putting clothes in the washing machine,Doing Laundry,"Pants, Shirt, Dress, Laundry detergent pod",Laundry room,do now,"activity, is a mundane chore",,,,
Loading plates and glasses from the dishwasher,Organizing the Kitchen,"Dishwasher, Plates, Glasses",Kitchen,do now,"activity, is a mundane chore",,,,
Scrubbing the sink with a sponge,Kitchen Cleaning,"Sponge, Kitchem Sink, Faucet",Kitchen,do now,"activity, is a mundane chore",,,,
Carrying a bowl of leftovers to the microwave,Prepare for Dinner,"Bowl, Bowl with food, Microwave, Fridge",Kitchen,do now,"activity, is a mundane chore",,,,
Dusting vases and showpieces in the living room,Cleaning the Living Room,"Vase, Showpiece, Duster, Coffee Table, Living Room Cabinet",Living Room,do now,"activity, is a mundane chore",,,,
Dusting coffee table and cabinet doors,Cleaning the Living Room,"Duster, Coffee Table, Living Room Cabinet",Living Room,do now,"activity, is a mundane chore",,,,
Rinsing ceramic plates and bowls in the sink,Doing the Dishes,"Plate, Bowl, Kitchen Sink, Faucet",Kitchen,do now,"activity, is a mundane chore",,,,
Cleaning the bath tub,Cleaning the Bathroom,"Scrub Brush, Water, Cleaning Liquid",Bathroom,do now,"action, is very tiring; activity, is a mundane chore",,,,
Dusting the ceiling corners,Cleaning the Living Room,Duster,Living Room,do now,"activity, is a mundane chore; action, involves accessing hard to reach locations",,,,
Wiping top of kitchen cabinets,Kitchen Cleaning,"Cleaning cloth, cleaning spray",Kitchen,do now,"activity, is a mundane chore; action, involves accessing hard to reach locations",,,,
Changing a lightbulb on the ceiling lamp,Changing a lightbulb,Lightbulb,Living Room,do now,"activity, is a mundane chore; action, involves accessing hard to reach locations",,,,
Cleaning floors under the furniture,Floor Cleaning,"Mop, Cleaning liquid",Living Room,do now,"activity, is a mundane chore; action, involves accessing hard to reach locations",,,,
Taking jewellery out of the lock-box,Getting dressed to go out,"Jewellery, Lock-box",Bedroom,no action,"action, involves knowing or accessing private information that one might not want to disclose",,,,
Searching for the chequebook from the documents drawer,Finishing financial tasks,"Desk drawer, Personal Documents, Chequebook",Home office,remind,"action, involves knowing or accessing private information that one might not want to disclose; activity, is crucial to complete",,,,
Filing tax documents in the documents folder,Finishing financial tasks,"Desk drawer, Personal Documents, Documents folder",Home office,remind,"action, involves knowing or accessing private information that one might not want to disclose; activity, is crucial to complete",,,,
Calling the bank to straighten a fraudulent transaction,Finishing financial tasks,"Mobile phone, Bank documents",Home office,remind,"action, involves knowing or accessing private information that one might not want to disclose; activity, is crucial to complete",,,,
Call the doctor to discuss test results and schedule a follow up,Following up with a doctor,"Mobile phone, Medical files",Living Room,remind,"action, involves knowing or accessing private information that one might not want to disclose; activity, is crucial to complete",,,,
Putting up framed art on the wall,Home Decoration,"Framed wall art, Wall, Adhesive tape",Living Room,no action,"action, is one which a user might be particular about if they are picky about home organization",,,,
Setting plates on the table,Prepare for Dinner,"Plates, Bowls, SIlverware","Kitchen, Dining Room",do now,"activity, is a mundane chore; action, can be easily fixed if done improperly","action, is one which a user might be particular about if they are picky about home organization",,,
Setting up silverware on the dining table,Preparing for Dinner,"Spoons, Forks, Dining table, Kitchen Cabinet",Dining Room,do now,"activity, is a mundane chore; action, can be easily fixed if done improperly","action, is one which a user might be particular about if they are picky about home organization",,,
Arranging showpieces in living room cabinets,Home Decoration,"Showpiece, Souvenir",Living Room,do now,"activity, is a mundane chore; action, can be easily fixed if done improperly","action, is one which a user might be particular about if they are picky about home organization",,,
Arranging books and souvenirs on the bookshelf,Home Decoration,"Books, Souvenir, Bookshelf",Living Room,do now,"activity, is a mundane chore; action, can be easily fixed if done improperly","action, is one which a user might be particular about if they are picky about home organization",,,
Tidying up the coffee table,Home Decoration,"Coffee table, books, coasters",Living Room,do now,"activity, is a mundane chore; action, can be easily fixed if done improperly","action, is one which a user might be particular about if they are picky about home organization",,,
Arranging cushions on the couch,Home Decoration,"Couch, cushion, throw blanket",Living Room,do now,"activity, is a mundane chore; action, can be easily fixed if done improperly","action, is one which a user might be particular about if they are picky about home organization",,,
