Action,Activity,Objects,Locations,Preference,Explanation,Opposing Concepts,Conditions,Preference Conditional,Explanation Conditional
Mowing the lawn,Outdoor Maintenance,Lawnmower,Backyard,do now,"action, is very tiring; activity, is a mundane chore",,adverse weather conditions,do later,"location, is a location outside the house"
Shoveling snow from the driveway,Outdoor Maintenance,Snow shovel,Driveway,do now,"action, is very tiring; activity, is a mundane chore",,adverse weather conditions,do later,"location, is a location outside the house"
Washing the car,Car maintenance,"Water Bucket, Cleaning cloth, Cleaning solution ",Driveway,do now,"action, is very tiring; activity, is a mundane chore",,adverse weather conditions,do later,"location, is a location outside the house"
Cleaning the driveway with a pressure washer,Outdoor Maintenance,Pressure washer,Driveway,do now,"action, is very tiring; activity, is a mundane chore",,adverse weather conditions,do later,"location, is a location outside the house"
Weeding the backyard garden,Maintaining backyard plants,Weeding tool,Backyard,do now,"action, is very tiring; activity, is a mundane chore",,adverse weather conditions,do later,"location, is a location outside the house"
Trimming plants in the backyard with a knife and shear,Maintaining backyard plants,"Knife, Gardening shears",Backyard,do now,"action, is very tiring; activity, is a mundane chore",,adverse weather conditions,do later,"location, is a location outside the house"
Adding fertilizer and mulch to plants in the backyard,Maintaining backyard plants,"Fertilizer, Mulch, Soil",Backyard,do now,"action, is very tiring; activity, is a mundane chore",,adverse weather conditions,do later,"location, is a location outside the house"
Watering plants in the backyard,Maintaining backyard plants,"Watering can, Hosepipe",Backyard,do now,"action, is very tiring; activity, is a mundane chore",,adverse weather conditions,do later,"location, is a location outside the house"
Adding potting soil to backyard plants,Maintaining backyard plants,"Potting soil bag, Potting soil, Scoop",Backyard,do now,"action, is very tiring; activity, is a mundane chore",,adverse weather conditions,do later,"location, is a location outside the house"
Mopping the kitchen and living room floors,Floor Cleaning,"Mop, Wet Pads","Kitchen, Dining Room",do now,"action, is very tiring; activity, is a mundane chore",,,,
Cleaning the floor carpets with a scrub brush,Floor Cleaning,"Scrub Brush, Carpets",Living Room,do now,"action, is very tiring; activity, is a mundane chore",,,,
Wiping down countertop after cooking,Cleaning the Kitchen,"Cleaning Cloth, Kitchen Countertop",Kitchen,do now,"action, is very tiring; activity, is a mundane chore",,,,
Wiping spilled milk on the kitchen floor,Cleaning a Spill,"Mop, Paper towel",Kitchen,do now,"action, is very tiring; activity, is a mundane chore",,,,
Loading plates and glasses from the dishwasher,Organizing the Kitchen,"Dishwasher, Plates, Glasses",Kitchen,do now,"action, is very tiring",,,,
Setting up silverware on the dining table,Preparing for Dinner,"Spoons, Forks, Dining table, Kitchen Cabinet",Dining Room,do now,,,,,
Rearranging the closet,Tidying the House,"Hangers, Pants, Dress, Shirt, Scarf",Closet,do now,,,,,
Carrying grocery bags from the car to the kitchen,Putting away Groceries,Grocery bags,"Garage, Kitchen, Doorway",do now,"action, is very tiring",,,,
Putting a bottle of water by the bed,Preparing to Sleep,"Water bottle, Nightstand",Bedroom,do now,,,,,
Fixing the comforter in the morning,Making the Bed,"Bed, Bedsheet, Comforter, Pillows",Bedroom,do now,"activity, is a mundane chore",,,,
Arranging pillows on the bed,Making the Bed,"Bed, Pillows, Pillowcovers",Bedroom,do now,"activity, is a mundane chore",,,,
Carrying clothes left on the bed to a laundry hamper,Laundry and Ironing,"Pants, Shirt, Jackets, Dresses, Bed, Laundry Hamper",Bedroom,do now,"activity, is a mundane chore",,,,
Placing the book you read every night on the nightstand,Preparing to Sleep,"Book, Nightstand",Bedroom,do now,,,,,
Placing pajamas out on the bed for you to wear at night,Preparing to Sleep,"Pajamas, Bed",Bedroom,do now,,,,,
Scooping out cookie dough,Baking,"Cookie dough, scoop, Baking tray",Kitchen,do now,,,,,
Arranging fridge magnets and notes on the fridge door,Home Decoration,"Fridge door, Fridge magnets",Kitchen,do now,,,,,
Mixing cake batter to bake a birthday cake,Baking,"Cake batter, Mixing bowl, Wooden spoon",Kitchen,do now,,,,,
Rinsing ceramic plates and bowls in the sink,Doing the Dishes,"Plate, Bowl, Kitchen Sink, Faucet",Kitchen,do now,,,,,
Taking out eggs from the fridge,Preparing Breakfast,"Egg, Egg crate, Fridge, Kitchen counter",Kitchen,do now,,,,,
Unloading plates and glasses from the dishwasher,Organizing the Kitchen,"Dishwasher, Plates, Glasses",Kitchen,do now,,,,,
Arranging cut fruits in a fruit bowl,Preparing a Meal,"Fruit slices, Serving bowl",Kitchen,do now,,,,,
Chopping vegetables,Preparing a Meal,"Carrots, Onions, Celery, Chopping Board, Chef Knife",Kitchen,do now,,,,,
Putting glass mugs in the kitchen cabinet,Organizing the Kitchen,"Pot, Pan, Glass Mug, Silverware, Kitchen Cabinet, Kitchen Drawer",Kitchen,do now,,,,,
Bringing water in a steel mug to take medication,Taking medication,"Steel mug, water",Living Room,do now,,,,,
Putting fruits in the blender to make a smoothie,Making a Smoothie,"Blender, Kitchen Counter, Apple, Banana, Strawberry",Kitchen,no action,"action, is one which a user might be particular about if they are picky about their food",,,,
Applying butter on toast for preparing breakfast,Preparing Breakfast,"Toast, Butter, Butter knife",Kitchen,no action,"action, is one which a user might be particular about if they are picky about their food",,,,
Garnishing food with salt and spices,Preparing a Meal,"Salt shaker, Spice shakers, Cooked Food",Kitchen,no action,"action, is one which a user might be particular about if they are picky about their food",,,,
Assembling a tiramisu,Preparing a Meal,"Ladyfinger Sponges, Pastry cream, Coffee, spatula",Kitchen,no action,"action, is one which a user might be particular about if they are picky about their food",,,,
Adding dressing to a salad,Preparing a Meal,"Salad, Salad dressing bottle",Kitchen,no action,"action, is one which a user might be particular about if they are picky about their food",,,,
Adding creamer to coffee,Preparing Breakfast,"Coffee creamer bottle, coffee",Dining Room,no action,"action, is one which a user might be particular about if they are picky about their food",,,,
Adding sugar to tea,Preparing Breakfast,"sugar packet, spoon, tea",Dining Room,no action,"action, is one which a user might be particular about if they are picky about their food",,,,
Bring plates with pastries to the table,Serving Food,"Plate, Pastries","Kitchen, Dining Room",no action,"action, involves handling open containers with something which takes work to replace if spilled",,,,
Serving food from cooking pots into plates using serving scoops,Serving Food,"Serving scoop, Cooking pot, Food",Dining table,no action,"action, involves handling open containers with something which takes work to replace if spilled;",,,,
Mixing milk and cereal to prepare breakfast,Preparing Breakfast,"Milk Carton, Cereal Box, Cereal Bowl",Dining Room,no action,"action, involves handling open containers with something which takes work to replace if spilled; action, is one which a user might be particular about if they are picky about their food",,,,
Carrying leftovers to the microwave,Serving Food,"Bowl, Leftover Food",Dining table,no action,"action, involves handling open containers with something which takes work to replace if spilled; action, can cause major damage or harm if done imprecisely",,,,
Fetching a bowl containing nuts out to the living room,Serving Food,"Bowl, Nuts","Living Room, Kitchen",no action,"action, involves handling open containers with something which takes work to replace if spilled",,,,
Pouring oil in a pan to cook food,Preparing a Meal,"Oil Bottle, Pan, stove",Kitchen,no action,"stove, involves an open flame; action, is one which a user might be particular about if they are picky about their food",,,,
Ironing clothes that you plan to wear in the evening,Laundry and Ironing,"Dress, Iron, Ironing board",Living Room,no action,"action, can cause major damage or harm if done imprecisely",,,,
Frying an egg,Preparing Breakfast,"fried egg, pan, stove, spatula",Kitchen,no action,"stove, involves an open flame; action, is one which a user might be particular about if they are picky about their food",,,,
Stirring stew on the stovetop,Preparing a Meal,"Pot, Wooden spoon, Stove",Kitchen,no action,"stove, involves an open flame; action, involves handling open containers with something which takes work to replace if spilled",,,,
Lighting candles in the evening,Home Decoration,"Lighter, Candle",Living Room,no action,"candle, involves an open flame; action, can cause major damage or harm if done imprecisely",,,,
Refilling the pillbox,Taking medication,"Pillbox, Medecine strips",Kitchen,no action,"action, can cause major damage or harm if done imprecisely",,,,
Turning on the stove,Preparing a Meal,"Stove, Stove knobs",Kitchen,no action,"stove, involves an open flame; action, can cause major damage or harm if done imprecisely",,,,
Drilling holes in the wall to put up a coat hook,Home Decoration,"Electric Drill, Hammer, Screws",Living Room,no action,"action, can cause major damage or harm if done imprecisely",,,,
Cleaning glass doors on living room cabinet,Cleaning the Living Room,"glass cabinet, cleaning cloth, cleaning liquid",Living Room,no action,"glass cabinet, is a fragile object; glass cabinet, is expensive",,,,
Wiping glass lampshades,Cleaning the Living Room,"Glass lampshade, cleaning cloth",Living Room,no action,"glass lampshade, is a fragile object; glass lampshade, is expensive",,,,
Wiping a TV screen,Cleaning the Living Room,"TV screen, cleaning cloth",Living Room,no action,"TV screen, is a fragile object; TV screen, is expensive",,,,
Setting up wine glasses on the dining table,Preparing for Dinner,"Wine Glass, Dining Table",Dining Room,no action,"wine glass, is a fragile object; wine glass, is expensive",,,,
Dusting vases and showpieces in the living room,Cleaning the Living Room,"Vase, Showpiece, Duster, coffee table, Living Room Cabinet",Living Room,no action,"vase, is a fragile object; vase, is expensive; showpiece, is a fragile object; showpiece, is expensive",,,,
Bringing your laptop to you,Getting ready to leave,"Laptop, Desk drawer","Living Room, Home Office",no action,"laptop, is a fragile object; laptop, is expensive",,,,
Arranging wine bottles on the bar cart,Organizing the Living Room,"Wine bottle, cocktail shaker, bar cart",Living Room,no action,"wine bottle, is a fragile object; wine bottle, is expensive; action, is one which a user might be particular about if they are picky about how their living room looks",,,,
Rearranging vintage china in the living room cabinet,Organizing the Living Room,"porcelain plate, porcelain cup, Living Room Cabinet",Living Room,no action,"porcelain plate, is a fragile object; porcelain plate, is expensive; porcelain cup, is a fragile object; porcelain cup, is expensive; action, is one which a user might be particular about if they are picky about how their living room looks",,,,
Putting up photos on the wall,Home Decoration,"Photographs, Wall, Adhesive tape",Living Room,no action,"action, is one which a user might be particular about if they are picky about how their living room looks",,,,
Running a blender to make a smoothie,Making a Smoothie,"Blender, Kitchen Counter",Kitchen,do now,,,user is asleep,do later,"action, makes a lot of noise"
Vacuum cleaning the living room carpets,Floor Cleaning,"Vacuum Cleaner, Carpets",Living Room,do now,"activity, is a mundane chore",,user is asleep,do later,"action, makes a lot of noise"
Grinding coffee beans in the electric grinder,Preparing Breakfast,"Coffee beans, electric grinder, power outlet",Kitchen,do now,,,user is asleep,do later,"action, makes a lot of noise"
Arranging pots and pans in the kitchen shelves,Organizing the Kitchen,"Pots, Pans, Kitchen Shelves",Kitchen,do now,,,user is asleep,do later,"action, makes a lot of noise"
Cleaning kitchen sink and running the garbage disposal,Cleaning the Kitchen,"Sponge, Dish Soap, Electric switch, Kitchen sink, Faucet",Kitchen,do now,"activity, is a mundane chore",,user is asleep,do later,"action, makes a lot of noise"
Applying moisturizer on your arms,Personal Care,"Moisturizer, Moisturizer bottle",Dressing Room,no action,"action, involves close contact with another human",,user is injured or disabled,do now,
Putting on a scarf when leaving the home,Getting ready to leave,Scarf,Living Room,no action,"action, involves close contact with another human",,user is injured or disabled,do now,
Using a trimmer to groom facial hair,Personal Care,Trimmer,Bathroom,no action,"action, involves close contact with another human",,user is injured or disabled,do now,
Helping you put on a bracelet or watch on your wrist,Getting ready to leave,"Bracelet, watch",Dressing Room,no action,"action, involves close contact with another human",,user is injured or disabled,do now,
Putting on sunscreen,Getting ready to leave,"Sunscreen bottle, cream applicator",Dressing Room,no action,"action, involves close contact with another human",,user is injured or disabled,do now,
Applying band aid on your skin,Personal Care,Band Aid,Dressing Room,no action,"action, involves close contact with another human",,user is injured or disabled,do now,
Spraying bug spray on your arms,Personal Care,Bug Spray bottle,Dressing Room,no action,"action, involves close contact with another human",,user is injured or disabled,do now,
Combing your hair,Personal Care,Comb,Dressing Room,no action,"action, involves close contact with another human",,user is injured or disabled,do now,
Reading a book,Reading,Book,Living Room,remind,"action, one often forgets to do; action, helps maintain executive functioning of the brain in the long term",,,,
Doing tai-chi,Tai Chi,Comfortable clothing,Living Room,remind,"action, one often forgets to do; action, helps maintain physical functioning of the body in the long term",,,,
Playing a piano,Playing Music,Piano,Living Room,remind,"action, one often forgets to do; action, helps maintain executive functioning of the brain in the long term",,,,
Solving a croswword puzzle,Solving a crossword,"Magazine, Pen",Living Room,remind,"action, one often forgets to do; action, helps maintain executive functioning of the brain in the long term",,,,
Doing strength exercises,Exercise,"Dumbbells, Yoga mat",Living Room,remind,"action, one often forgets to do; action, helps maintain physical functioning of the body in the long term",,,,
