Action,Activity,Objects,Locations,Preference,Explanation,Opposing Concepts,Conditions,Preference Conditional,Explanation Conditional
Mopping the kitchen and living room floors,Floor Cleaning,"Mop, Wet Pads","Kitchen, Dining Room",do now,"action, is very tiring; activity, is a mundane chore",,,,
Organizing items in the pantry,Organizing the Kitchen,"Pasta, Canned beans, Rice, Canned tuna",Kitchen,do now,"action, is very tiring; activity, is a mundane chore",,,,
Setting up silverware on the dining table,Preparing for Dinner,"Spoons, Forks, Dining table, Kitchen Cabinet",Dining Room,do now,"activity, is a mundane chore",,,,
Wiping down countertop after cooking,Cleaning the Kitchen,"Cleaning Cloth, Kitchen Countertop",Kitchen,do now,"activity, is a mundane chore",,,,
Wiping spilled milk on the kitchen floor,Cleaning a Spill,"Mop, Paper towel",Kitchen,do now,"activity, is a mundane chore",,,,
Putting glass mugs in the kitchen cabinet,Organizing the Kitchen,"Pot, Pan, Glass Mug, Silverware, Kitchen Cabinet, Kitchen Drawer",Kitchen,do now,"activity, is a mundane chore",,,,
Setting up wine glasses on the dining table,Preparing for Dinner,"Wine Glass, Dining Table",Dining Room,do now,"activity, is a mundane chore",,,,
Dusting vases and showpieces in the living room,Cleaning the Living Room,"Vase, Showpiece, Duster, Coffee Table, Living Room Cabinet",Living Room,do now,"action, is very tiring; activity, is a mundane chore",,,,
Rinsing ceramic plates and bowls in the sink,Doing the Dishes,"Plate, Bowl, Kitchen Sink, Faucet",Kitchen,do now,"action, is very tiring; activity, is a mundane chore",,,,
Taking out eggs from the fridge,Preparing Breakfast,"Egg, Egg crate, Fridge, Kitchen counter",Kitchen,do now,"activity, is a mundane chore",,,,
Unloading plates and glasses from the dishwasher,Organizing the Kitchen,"Dishwasher, Plates, Glasses",Kitchen,do now,"action, is very tiring; activity, is a mundane chore",,,,
Putting a bottle of water by the bed,Preparing to Sleep,"Water bottle, Nightstand",Bedroom,do now,"activity, is a mundane chore",,,,
Fixing the comforter in the morning,Making the Bed,"Bed, Bedsheet, Comforter, Pillows",Bedroom,do now,"activity, is a mundane chore",,,,
Arranging pillows on the bed,Making the Bed,"Bed, Pillows, Pillowcovers",Bedroom,do now,"activity, is a mundane chore",,,,
Carrying clothes left on the bed to a laundry hamper,Laundry and Ironing,"Pants, Shirt, Jackets, Dresses, Bed, Laundry Hamper",Bedroom,do now,"activity, is a mundane chore",,,,
