Action,Activity,Objects,Locations,Preference,Explanation,Opposing Concepts,Conditions,Preference Conditional,Explanation Conditional
Mowing the lawn,Outdoor Maintenance,Lawnmower,Backyard,do now,"action, is very tiring; activity, is a mundane chore",,"user is asleep, weekend",do later,"action, makes a lot of noise"
Blowing leaves,Outdoor Maintenance,Leaf blower,Backyard,do now,"action, is very tiring; activity, is a mundane chore",,"user is asleep, weekend",do later,"action, makes a lot of noise"
Trimming hedges in the yard,Maintaining backyard plants,"Hedge clipper, Hedge trimmer",Backyard,do now,"action, is very tiring; activity, is a mundane chore",,,,
Watering grass in the backyard,Maintaining backyard plants,"Watering can, Hosepipe",Backyard,do now,"action, is very tiring; activity, is a mundane chore",,,,
Weeding the backyard garden,Maintaining backyard plants,Weeding tool,Backyard,do now,"action, is very tiring; activity, is a mundane chore",,,,
Mopping the kitchen and living room floors,Floor Cleaning,"Mop, Wet Pads","Kitchen, Dining Room",do now,"action, is very tiring; activity, is a mundane chore",,,,
Cleaning the floor carpets with a scrub brush,Floor Cleaning,"Scrub Brush, Carpets",Living Room,do now,"action, is very tiring; activity, is a mundane chore",,,,
Wiping down countertop after cooking,Cleaning the Kitchen,"Cleaning Cloth, Kitchen Countertop",Kitchen,do now,"activity, is a mundane chore",,,,
Wiping spilled milk on the kitchen floor,Cleaning a Spill,"Mop, Paper towel",Kitchen,do now,"activity, is a mundane chore",,,,
Applying moisturizer on your arms,Personal Care,"Moisturizer, Moisturizer bottle",Dressing Room,do now,"action, is much easier if someone helps one with it",,,,
Putting on a scarf when leaving the home,Getting ready to leave,Scarf,Living Room,do now,"action, is much easier if someone helps one with it",,,,
Using a trimmer to groom facial hair,Personal Care,Trimmer,Bathroom,do now,"action, is much easier if someone helps one with it",,,,
Helping you put on a bracelet or watch on your wrist,Getting ready to leave,"Bracelet, watch",Dressing Room,do now,"action, is much easier if someone helps one with it",,,,
Putting on sunscreen,Getting ready to leave,"Sunscreen bottle, cream applicator",Dressing Room,do now,"action, is much easier if someone helps one with it",,,,
Applying band aid on your skin,Personal Care,Band Aid,Dressing Room,do now,"action, is much easier if someone helps one with it",,,,
Spraying bug spray on your arms,Personal Care,Bug Spray bottle,Dressing Room,do now,"action, is much easier if someone helps one with it",,,,
Combing your hair,Personal Care,Comb,Dressing Room,do now,"action, is much easier if someone helps one with it",,,,
Putting a bottle of water by the bed,Preparing to Sleep,"Water bottle, Nightstand",Bedroom,do now,"activity, is a mundane chore",,,,
Fixing the comforter in the morning,Making the Bed,"Bed, Bedsheet, Comforter, Pillows",Bedroom,do now,"activity, is a mundane chore",,,,
Arranging pillows on the bed,Making the Bed,"Bed, Pillows, Pillowcovers",Bedroom,do now,"activity, is a mundane chore",,,,
Carrying clothes left on the bed to a laundry hamper,Laundry and Ironing,"Pants, Shirt, Jackets, Dresses, Bed, Laundry Hamper",Bedroom,do now,"activity, is a mundane chore",,,,
Arranging pots and pans in the kitchen shelves,Organizing the Kitchen,"Pots, Pans, Kitchen Shelves",Kitchen,no action,"action, is one which a user might be particular about if they are picky about home organization",,"user is asleep, weekend",do later,"action, makes a lot of noise"
Reorganizing silverware in the kitchen drawers,Home Organization,"Spoons, Forks, Kitchen Cabinet",Kitchen,no action,"action, is one which a user might be particular about if they are picky about home organization",,,,
Reorganizing pantry items in the kitchen,Home Organization,"Pasta box, Rice, Condiment bottle, Pantry cabinet",Kitchen,no action,"action, is one which a user might be particular about if they are picky about home organization",,,,
Organizing items on the kitchen counter,Organizing the Kitchen,"Oil bottle, Coffee maker, Blender",Kitchen,no action,"action, is one which a user might be particular about if they are picky about home organization",,,,
Putting away clothes in the closet,Doing Laundry,"Hangers, Pants, Dress, Shirt, Scarf",Dressing Room,no action,"action, is one which a user might be particular about if they are picky about home organization",,,,
Folding and putting away clothes in the dresser,Doing Laundry,"Pants, Shirt, Jackets, Dresses, Dresser",Closet,no action,"action, is one which a user might be particular about if they are picky about home organization",,,,
Unloading plates and glasses from the dishwasher,Organizing the Kitchen,"Dishwasher, Plates, Glasses",Kitchen,no action,"action, is one which a user might be particular about if they are picky about home organization",,,,
Organizing living room cabinets and coffee table,Home Organization,"Coffee table, books, coasters, cabinet",Living Room,no action,"action, is one which a user might be particular about if they are picky about home organization",,,,
Bring plates with pastries to the table,Serving Food,"Plate, Pastries","Kitchen, Dining Room",do now,"activity, is a mundane chore",,,,
Serving food from cooking pots into plates using serving scoops,Serving Food,"Serving scoop, Cooking pot, Food",Dining table,do now,"activity, is a mundane chore",,,,
Mixing milk and cereal to prepare breakfast,Preparing Breakfast,"Milk Carton, Cereal Box, Cereal Bowl",Dining Room,do now,"activity, is a mundane chore",,,,
Bringing water in a steel mug to take medication,Taking medication,"Steel mug, water",Living Room,no action,"action, involves handling open containers filled with something which could spill",,,,
Serving a jug of juice at the dining table,Serving Food,"Jug, Juice",Dining table,no action,"action, involves handling open containers filled with something which could spill",,,,
Fetching a bowl containing nuts out to the living room,Serving Food,"Bowl, Nuts","Living Room, Kitchen",do now,"activity, is a mundane chore",,,,
Carrying a water jug to water indoor plants,Maintaining house plants,"Water jug, House plants",Living Room,no action,"action, involves handling open containers filled with something which could spill",,,,
Make coffee in french press,Making coffee,"French press, Coffee grounds",Kitchen,do now,"action, is one that a user might not enjoy if they do not like cooking",,,,
Scooping out cookie dough,Baking,"Cookie dough, scoop, Baking tray",Kitchen,do now,"action, is one that a user might not enjoy if they do not like cooking",,,,
Mixing cake batter to bake a birthday cake,Baking,"Cake batter, Mixing bowl, Wooden spoon",Kitchen,do now,"action, is one that a user might not enjoy if they do not like cooking",,,,
Arranging cut fruits in a fruit bowl,Preparing a Meal,"Fruit slices, Serving bowl",Kitchen,do now,"action, is one that a user might not enjoy if they do not like cooking",,,,
Pouring oil in a pan to cook food,Preparing a Meal,"Oil Bottle, Pan, Stove",Kitchen,do now,"action, is one that a user might not enjoy if they do not like cooking",,,,
Garnishing food with salt and spices,Preparing a Meal,"Salt shaker, Spice shakers, Cooked Food",Kitchen,do now,"action, is one that a user might not enjoy if they do not like cooking",,,,
Putting fruits in the blender to make a smoothie,Making a Smoothie,"Blender, Kitchen Counter, Apple, Banana, Strawberry",Kitchen,do now,"action, is one that a user might not enjoy if they do not like cooking",,,,
Applying butter on toast for preparing breakfast,Preparing Breakfast,"Toast, Butter, Butter knife",Kitchen,do now,"action, is one that a user might not enjoy if they do not like cooking",,,,
Stirring stew on the stovetop,Preparing a Meal,"Pot, Wooden spoon, Stove",Kitchen,no action,"action, needs close monitoring to determine when something is done","action, is one that a user might not enjoy if they do not like cooking",,,
Frying eggs till done,Preparing Breakfast,"Fried eggs, Pan, Stove",Kitchen,no action,"action, needs close monitoring to determine when something is done","action, is one that a user might not enjoy if they do not like cooking",,,
Make rice in a pot on the stove,Preparing a Meal,"Rice, Pot, Stove",Kitchen,no action,"action, needs close monitoring to determine when something is done","action, is one that a user might not enjoy if they do not like cooking",,,
Boil pasta to desired level of doneness,Preparing a Meal,"Pasta, Pot, Stove",Kitchen,no action,"action, needs close monitoring to determine when something is done","action, is one that a user might not enjoy if they do not like cooking",,,
Stirring custard on the stove,Preparing a Meal,"Custard, Spatula, Stove",Kitchen,no action,"action, needs close monitoring to determine when something is done","action, is one that a user might not enjoy if they do not like cooking",,,
Sauteing vegetables in a wok,Preparing a Meal,"Chopped vegetables, Wok, Wooden spoon",Kitchen,no action,"action, needs close monitoring to determine when something is done","action, is one that a user might not enjoy if they do not like cooking",,,
Order spices that are running low,Ordering grocery,"Mobile phone, Credit card",Living Room,remind,"action, one often forgets to do; action, involves knowing or accessing private information that one might not want to disclose; Credit card, contains sensitive private information",,,,
