Action,Activity,Objects,Locations,Preference,Explanation,Opposing Concepts,Conditions,Preference Conditional,Explanation Conditional
Mowing the lawn,Outdoor Maintenance,Lawnmower,Backyard,do now,"action, is very tiring; activity, is a mundane chore",,,,
Shoveling snow from the driveway,Outdoor Maintenance,Snow shovel,Driveway,do now,"action, is very tiring; activity, is a mundane chore",,,,
Weeding the backyard garden,maintaining backyard plants,Weeding tool,Backyard,do now,"action, is very tiring; activity, is a mundane chore",,,,
Cleaning the driveway with a pressure washer,Outdoor Maintenance,Pressure washer,Driveway,do now,"action, is very tiring; activity, is a mundane chore",,,,
Mopping the kitchen and living room floors,Floor Cleaning,"Mop, Wet Pads","Kitchen, Dining Room",do now,"action, is very tiring; activity, is a mundane chore",,user is nearby,do later,"kitchen, might be a tight space where presence a robot might get in the way of a person; action, involves moving around in space"
Cleaning the floor carpets with a scrub brush,Floor Cleaning,"Scrub Brush, Carpets",Living Room,do now,"action, is very tiring; activity, is a mundane chore",,user is nearby,do later,"action, involves moving around in space"
Wiping down countertop after cooking,Cleaning the Kitchen,"Cleaning Cloth, Kitchen Countertop",Kitchen,do now,"activity, is a mundane chore",,user is nearby,do later,"location, might be a tight space where presence a robot might get in the way of a person; action, involves moving around in space"
Wiping spilled milk on the kitchen floor,Cleaning a Spill,"Mop, Paper towel",Kitchen,do now,"activity, is a mundane chore",,,,
Vacuum cleaning the living room carpets,Floor Cleaning,"Vacuum Cleaner, Carpets",Living Room,do now,"action, is very tiring; activity, is a mundane chore",,user is nearby,do later,"action, involves moving around in space"
Cleaning kitchen sink and running the garbage disposal,Cleaning the Kitchen,"Sponge, Dish Soap, Electric switch, Kitchen sink, Faucet",Kitchen,do now,"activity, is a mundane chore",,,,
Organizing living room cabinets and coffee table,Home Organization,"Coffee table, books, coasters, cabinet",Living Room,do now,"activity, is a mundane chore",,user is nearby,do later,"action, involves moving around in space"
Arranging books on the bookshelf,Home Organization,"books, bookshelf",Living Room,do now,"activity, is a mundane chore",,,,
Arranging fridge magnets and notes on the fridge door,Home Decoration,"Fridge door, Fridge magnets",Kitchen,do now,"activity, is a mundane chore",,,,
Arranging cut fruits in a fruit bowl,Preparing a Meal,"Fruit slices, Serving bowl",Kitchen,do now,"activity, is a mundane chore",,,,
Setting up silverware on the dining table,Preparing for Dinner,"Spoons, Forks, Dining table, Kitchen Cabinet",Dining Room,do now,"activity, is a mundane chore",,,,
Rearranging the closet,Tidying the House,"Hangers, Pants, Dress, Shirt, Scarf",Closet,do now,"activity, is a mundane chore",,user is nearby,do later,"location, might be a tight space where presence a robot might get in the way of a person; action, involves moving around in space"
Folding and putting away clothes in the dresser,Doing Laundry,"Pants, Shirt, Jackets, Dresses, Dresser",Closet,do now,"activity, is a mundane chore",,user is nearby,do later,"location, might be a tight space where presence a robot might get in the way of a person; action, involves moving around in space"
Unloading plates and glasses from the dishwasher,Organizing the Kitchen,"Dishwasher, Plates, Glasses",Kitchen,do now,"activity, is a mundane chore",,user is nearby,do later,"location, might be a tight space where presence a robot might get in the way of a person; action, involves moving around in space"
Arranging pots and pans in the kitchen shelves,Organizing the Kitchen,"Pots, Pans, Kitchen Shelves",Kitchen,do now,"activity, is a mundane chore",,user is nearby,do later,"location, might be a tight space where presence a robot might get in the way of a person; action, involves moving around in space"
Reorganizing silverware in the kitchen drawers,Home Organization,"Spoons, Forks, Kitchen Cabinet",Kitchen,do now,"activity, is a mundane chore",,user is nearby,do later,"location, might be a tight space where presence a robot might get in the way of a person; action, involves moving around in space"
Organizing items on the kitchen counter,Organizing the Kitchen,"Oil bottle, Coffee maker, Blender",Kitchen,do now,"activity, is a mundane chore",,user is nearby,do later,"location, might be a tight space where presence a robot might get in the way of a person; action, involves moving around in space"
Bring plates with pastries to the table,Serving Food,"Plate, Pastries","Kitchen, Dining Room",do now,"activity, is a mundane chore",,,,
Serving food from cooking pots into plates using serving scoops,Serving Food,"Serving scoop, Cooking pot, Food",Dining table,do now,"activity, is a mundane chore",,,,
Bringing water in a steel mug to take medication,Taking medication,"Steel mug, water",Living Room,do now,"activity, is a mundane chore",,,,
Serving a jug of juice at the dining table,Serving Food,"Jug, Juice",Dining table,do now,"activity, is a mundane chore",,,,
Fetching a bowl containing nuts out to the living room,Serving Food,"Bowl, Nuts","Living Room, Kitchen",do now,"activity, is a mundane chore",,,,
Applying moisturizer on your arms,Personal Care,"Moisturizer, Moisturizer bottle",Dressing Room,do now,"action, is much easier if someone helps one with it",,,,
Putting on a scarf when leaving the home,Getting ready to leave,Scarf,Living Room,do now,"action, is much easier if someone helps one with it",,,,
Using a trimmer to groom facial hair,Personal Care,Trimmer,Bathroom,do now,"action, is much easier if someone helps one with it",,,,
Helping you put on a bracelet or watch on your wrist,Getting ready to leave,"Bracelet, watch",Dressing Room,do now,"action, is much easier if someone helps one with it",,,,
Putting on sunscreen,Getting ready to leave,"Sunscreen bottle, cream applicator",Dressing Room,do now,"action, is much easier if someone helps one with it",,,,
Applying band aid on your skin,Personal Care,Band Aid,Dressing Room,do now,"action, is much easier if someone helps one with it",,,,
Spraying bug spray on your arms,Personal Care,Bug Spray bottle,Dressing Room,do now,"action, is much easier if someone helps one with it",,,,
Combing your hair,Personal Care,Comb,Dressing Room,do now,"action, is much easier if someone helps one with it",,,,
Putting a bottle of water by the bed,Preparing to Sleep,"Water bottle, Nightstand",Bedroom,do now,"activity, is a mundane chore",,,,
Fixing the comforter in the morning,Making the Bed,"Bed, Bedsheet, Comforter, Pillows",Bedroom,do now,"activity, is a mundane chore",,,,
Arranging pillows on the bed,Making the Bed,"Bed, Pillows, Pillowcovers",Bedroom,do now,"activity, is a mundane chore",,,,
Carrying clothes left on the bed to a laundry hamper,Laundry and Ironing,"Pants, Shirt, Jackets, Dresses, Bed, Laundry Hamper",Bedroom,do now,"activity, is a mundane chore",,,,
Placing the book you read every night on the nightstand,Preparing to Sleep,"Book, Nightstand",Bedroom,do now,"activity, is a mundane chore",,,,
Placing pajamas out on the bed for you to wear at night,Preparing to Sleep,"Pajamas, Bed",Bedroom,do now,"activity, is a mundane chore",,,,
Stirring stew on the stovetop,Preparing a Meal,"Pot, Wooden spoon, Stove",Kitchen,no action,"action, is one which a user might be particular about if they are picky about their food",,,,
Scooping out cookie dough,Baking,"Cookie dough, scoop, Baking tray",Kitchen,no action,"action, is one which a user might be particular about if they are picky about their food",,,,
Putting fruits in the blender to make a smoothie,Making a Smoothie,"Blender, Kitchen Counter, Apple, Banana, Strawberry",Kitchen,no action,"action, is one which a user might be particular about if they are picky about their food",,,,
Applying butter on toast for preparing breakfast,Preparing Breakfast,"Toast, Butter, Butter knife",Kitchen,no action,"action, is one which a user might be particular about if they are picky about their food",,,,
Frying eggs till done,Preparing Breakfast,"Fried eggs, Pan, Stove",Kitchen,no action,"action, is one which a user might be particular about if they are picky about their food",,,,
Mixing yoghurt with granola and fruits,Preparing Breakfast,"Yoghurt, Granola, Nuts, Fruits, Bowl, Spoon",Kitchen,no action,"action, is one which a user might be particular about if they are picky about their food",,,,
Mixing milk and cereal to prepare breakfast,Preparing Breakfast,"Milk Carton, Cereal Box, Cereal Bowl",Dining Room,no action,"action, is one which a user might be particular about if they are picky about their food",,,,
Garnishing food with salt and spices,Preparing a Meal,"Salt shaker, Spice shakers, Cooked Food",Kitchen,no action,"action, is one which a user might be particular about if they are picky about their food",,,,
Mixing cake batter to bake a birthday cake,Baking,"Cake batter, Mixing bowl, Wooden spoon",Kitchen,no action,"action, is one which a user might be particular about if they are picky about their food",,,,
Pouring oil in a pan to cook food,Preparing a Meal,"Oil Bottle, Pan, Stove",Kitchen,no action,"action, is one which a user might be particular about if they are picky about their food",,,,
Lighting candles in the evening,Home Decoration,"Lighter, Candle",Living Room,no action,"candle, involves an open flame; action, can cause major damage or harm if done imprecisely",,,,
Turning on the stove,Preparing a Meal,"Stove, Stove knobs",Kitchen,no action,"stove, involves an open flame; action, can cause major damage or harm if done imprecisely",,,,
Starting fire in a fireplace,Starting a fireplace,"Match box, Kindling, fireplace",Living Room,no action,"fireplace, involves an open flame; action, can cause major damage or harm if done imprecisely",,,,
Ironing clothes that you plan to wear in the evening,Laundry and Ironing,"Dress, Iron, Ironing board",Living Room,no action,"action, can cause major damage or harm if done imprecisely",,,,
Refilling the pillbox,Taking medication,"Pillbox, Medecine strips",Kitchen,no action,"action, can cause major damage or harm if done imprecisely",,,,
Drilling holes in the wall to put up a coat hook,Home Decoration,"Electric Drill, Hammer, Screws",Living Room,no action,"action, can cause major damage or harm if done imprecisely",,,,
Putting porcelain teacups in the kitchen cabinet,Organizing the Kitchen,"Porcelain Teacup, Kitchen Cabinet, Kitchen Drawer",Kitchen,no action,"Porcelain teacup, is a fragile object; Porcelain teacup, is expensive",,,,
Setting up wine glasses on the dining table,Preparing for Dinner,"Wine Glass, Dining Table",Dining Room,no action,"wine glass, is a fragile object; wine glass, is expensive",,,,
Dusting hierloom pieces in the living room,Dusting the Living Room,"hierloom piece, Duster, Living Room Cabinet",Living Room,no action,"hierloom piece, is a fragile object; hierloom piece, is expensive",,,,
